event_occurrence_id,event_name,event_date_time_start,event_date_time_end,event_location,event_capacity,event_registration_deadline
119,Girls in STEAM Mentoring,2/28/23 10:00,2/28/23 12:00,Local Library,100,2/21/23 10:00
120,Intro to Painting Class,9/28/23 10:00,9/28/23 12:00,Virtual Zoom,100,9/21/23 10:00
121,Mentor Office Hours,6/1/25 10:00,6/1/25 12:00,Art Studio 2,100,5/25/25 10:00
122,Intro to Painting Class,2/8/24 10:00,2/8/24 12:00,Local Library,100,2/1/24 10:00
123,Web Dev Bootcamp Night,12/3/21 10:00,12/3/21 12:00,Art Studio 2,100,11/26/21 10:00
124,Data Science Study Group,11/20/24 10:00,11/20/24 12:00,Local Library,100,11/13/24 10:00
125,Robotics Lab Saturday,4/19/25 10:00,4/19/25 12:00,Ella Rises HQ,100,4/12/25 10:00
126,Data Science Study Group,1/29/25 10:00,1/29/25 12:00,Ella Rises HQ,100,1/22/25 10:00
127,Mentor Office Hours,5/25/25 10:00,5/25/25 12:00,Art Studio 2,100,5/18/25 10:00
128,Girls in STEAM Mentoring,4/2/24 10:00,4/2/24 12:00,Ella Rises HQ,100,3/26/24 10:00
129,Girls in STEAM Mentoring,7/11/23 10:00,7/11/23 12:00,Local Library,100,7/4/23 10:00
130,Mentor Office Hours,6/15/25 10:00,6/15/25 12:00,Virtual Zoom,100,6/8/25 10:00
131,Girls in STEAM Mentoring,6/7/22 10:00,6/7/22 12:00,Art Studio 2,100,5/31/22 10:00
132,Monthly Art Studio Workshop,9/15/25 10:00,9/15/25 12:00,Ella Rises HQ,100,9/8/25 10:00
133,Mentor Office Hours,10/8/23 10:00,10/8/23 12:00,Community Center Room A,100,10/1/23 10:00
134,Intro to Painting Class,7/6/23 10:00,7/6/23 12:00,Local Library,100,6/29/23 10:00
135,Mentor Office Hours,8/21/22 10:00,8/21/22 12:00,Art Studio 2,100,8/14/22 10:00
136,Mentor Office Hours,9/14/25 10:00,9/14/25 12:00,Virtual Zoom,100,9/7/25 10:00
137,Mentor Office Hours,12/11/22 10:00,12/11/22 12:00,Ella Rises HQ,100,12/4/22 10:00
138,Mentor Office Hours,11/6/22 10:00,11/6/22 12:00,Local Library,100,10/30/22 10:00
139,Mentor Office Hours,10/15/23 10:00,10/15/23 12:00,Community Center Room A,100,10/8/23 10:00
140,Robotics Lab Saturday,7/13/24 10:00,7/13/24 12:00,Community Center Room A,100,7/6/24 10:00
141,Robotics Lab Saturday,10/28/23 10:00,10/28/23 12:00,Ella Rises HQ,100,10/21/23 10:00
142,Girls in STEAM Mentoring,8/29/23 10:00,8/29/23 12:00,Art Studio 2,100,8/22/23 10:00
143,Leadership Circle Meetup,12/15/21 10:00,12/15/21 12:00,Community Center Room A,100,12/8/21 10:00
144,Data Science Study Group,1/25/23 10:00,1/25/23 12:00,Local Library,100,1/18/23 10:00
145,Ella Rises Annual Leadership Conference,6/15/23 10:00,6/15/23 12:00,Community Center Room A,100,6/8/23 10:00
146,Robotics Lab Saturday,4/22/23 10:00,4/22/23 12:00,Virtual Zoom,100,4/15/23 10:00
147,Robotics Lab Saturday,1/4/25 10:00,1/4/25 12:00,Community Center Room A,100,12/28/24 10:00
148,Web Dev Bootcamp Night,3/25/22 10:00,3/25/22 12:00,Community Center Room A,100,3/18/22 10:00
149,Monthly Coding Club,4/15/24 10:00,4/15/24 12:00,Art Studio 2,100,4/8/24 10:00
150,Girls in STEAM Mentoring,10/28/25 10:00,10/28/25 12:00,Ella Rises HQ,100,10/21/25 10:00
151,Data Science Study Group,8/14/24 10:00,8/14/24 12:00,Virtual Zoom,100,8/7/24 10:00
152,Web Dev Bootcamp Night,5/13/22 10:00,5/13/22 12:00,Local Library,100,5/6/22 10:00
153,Robotics Lab Saturday,4/9/22 10:00,4/9/22 12:00,Community Center Room A,100,4/2/22 10:00
154,Data Science Study Group,12/1/21 10:00,12/1/21 12:00,Virtual Zoom,100,11/24/21 10:00
155,Data Science Study Group,2/5/25 10:00,2/5/25 12:00,Art Studio 2,100,1/29/25 10:00
156,Mentor Office Hours,3/16/25 10:00,3/16/25 12:00,Local Library,100,3/9/25 10:00
157,Web Dev Bootcamp Night,1/14/22 10:00,1/14/22 12:00,Virtual Zoom,100,1/7/22 10:00
158,Data Science Study Group,5/22/24 10:00,5/22/24 12:00,Art Studio 2,100,5/15/24 10:00
159,Girls in STEAM Mentoring,12/28/21 10:00,12/28/21 12:00,Art Studio 2,100,12/21/21 10:00
160,Web Dev Bootcamp Night,1/20/23 10:00,1/20/23 12:00,Art Studio 2,100,1/13/23 10:00
161,Mentor Office Hours,9/28/25 10:00,9/28/25 12:00,Ella Rises HQ,100,9/21/25 10:00
162,Mentor Office Hours,10/20/24 10:00,10/20/24 12:00,Local Library,100,10/13/24 10:00
163,Intro to Painting Class,8/21/25 10:00,8/21/25 12:00,Virtual Zoom,100,8/14/25 10:00
164,Data Science Study Group,10/5/22 10:00,10/5/22 12:00,Art Studio 2,100,9/28/22 10:00
165,Girls in STEAM Mentoring,5/24/22 10:00,5/24/22 12:00,Ella Rises HQ,100,5/17/22 10:00
166,Girls in STEAM Mentoring,4/18/23 10:00,4/18/23 12:00,Local Library,100,4/11/23 10:00
167,Girls in STEAM Mentoring,1/10/23 10:00,1/10/23 12:00,Ella Rises HQ,100,1/3/23 10:00
168,Web Dev Bootcamp Night,9/8/23 10:00,9/8/23 12:00,Art Studio 2,100,9/1/23 10:00
169,Robotics Lab Saturday,5/31/25 10:00,5/31/25 12:00,Art Studio 2,100,5/24/25 10:00
170,Mentor Office Hours,2/5/23 10:00,2/5/23 12:00,Community Center Room A,100,1/29/23 10:00
171,Intro to Painting Class,8/3/23 10:00,8/3/23 12:00,Art Studio 2,100,7/27/23 10:00
172,Mentor Office Hours,1/1/23 10:00,1/1/23 12:00,Virtual Zoom,100,12/25/22 10:00
173,Mentor Office Hours,10/30/22 10:00,10/30/22 12:00,Local Library,100,10/23/22 10:00
174,Girls in STEAM Mentoring,3/21/23 10:00,3/21/23 12:00,Ella Rises HQ,100,3/14/23 10:00
175,Robotics Lab Saturday,12/2/23 10:00,12/2/23 12:00,Art Studio 2,100,11/25/23 10:00
176,Robotics Lab Saturday,3/2/24 10:00,3/2/24 12:00,Virtual Zoom,100,2/24/24 10:00
177,Robotics Lab Saturday,9/27/25 10:00,9/27/25 12:00,Virtual Zoom,100,9/20/25 10:00
178,Mentor Office Hours,3/17/24 10:00,3/17/24 12:00,Local Library,100,3/10/24 10:00
179,Mentor Office Hours,6/30/24 10:00,6/30/24 12:00,Local Library,100,6/23/24 10:00
180,Robotics Lab Saturday,8/3/24 10:00,8/3/24 12:00,Virtual Zoom,100,7/27/24 10:00
181,Girls in STEAM Mentoring,11/15/22 10:00,11/15/22 12:00,Community Center Room A,100,11/8/22 10:00
182,Web Dev Bootcamp Night,12/15/23 10:00,12/15/23 12:00,Art Studio 2,100,12/8/23 10:00
183,Intro to Painting Class,10/12/23 10:00,10/12/23 12:00,Community Center Room A,100,10/5/23 10:00
184,Data Science Study Group,7/9/25 10:00,7/9/25 12:00,Local Library,100,7/2/25 10:00
185,Data Science Study Group,6/18/25 10:00,6/18/25 12:00,Virtual Zoom,100,6/11/25 10:00
186,Mentor Office Hours,6/19/22 10:00,6/19/22 12:00,Virtual Zoom,100,6/12/22 10:00
187,Data Science Study Group,10/4/23 10:00,10/4/23 12:00,Ella Rises HQ,100,9/27/23 10:00
188,Intro to Painting Class,7/7/22 10:00,7/7/22 12:00,Virtual Zoom,100,6/30/22 10:00
189,Web Dev Bootcamp Night,11/19/21 10:00,11/19/21 12:00,Community Center Room A,100,11/12/21 10:00
190,Monthly Art Studio Workshop,9/15/23 10:00,9/15/23 12:00,Art Studio 2,100,9/8/23 10:00
191,Mentor Office Hours,11/26/23 10:00,11/26/23 12:00,Art Studio 2,100,11/19/23 10:00
192,Leadership Circle Meetup,10/15/24 10:00,10/15/24 12:00,Ella Rises HQ,100,10/8/24 10:00
193,Intro to Painting Class,4/14/22 10:00,4/14/22 12:00,Art Studio 2,100,4/7/22 10:00
194,Girls in STEAM Mentoring,6/14/22 10:00,6/14/22 12:00,Virtual Zoom,100,6/7/22 10:00
195,Web Dev Bootcamp Night,4/28/23 10:00,4/28/23 12:00,Local Library,100,4/21/23 10:00
196,Robotics Lab Saturday,5/21/22 10:00,5/21/22 12:00,Local Library,100,5/14/22 10:00
197,Web Dev Bootcamp Night,7/4/25 10:00,7/4/25 12:00,Ella Rises HQ,100,6/27/25 10:00
198,Girls in STEAM Mentoring,11/30/21 10:00,11/30/21 12:00,Virtual Zoom,100,11/23/21 10:00
199,Robotics Lab Saturday,6/21/25 10:00,6/21/25 12:00,Art Studio 2,100,6/14/25 10:00
200,Girls in STEAM Mentoring,3/25/25 10:00,3/25/25 12:00,Ella Rises HQ,100,3/18/25 10:00
201,Girls in STEAM Mentoring,1/11/22 10:00,1/11/22 12:00,Art Studio 2,100,1/4/22 10:00
202,Data Science Study Group,5/25/22 10:00,5/25/22 12:00,Ella Rises HQ,100,5/18/22 10:00
203,Data Science Study Group,7/6/22 10:00,7/6/22 12:00,Local Library,100,6/29/22 10:00
204,Robotics Lab Saturday,6/1/24 10:00,6/1/24 12:00,Community Center Room A,100,5/25/24 10:00
205,Robotics Lab Saturday,5/11/24 10:00,5/11/24 12:00,Community Center Room A,100,5/4/24 10:00
206,Intro to Painting Class,3/16/23 10:00,3/16/23 12:00,Local Library,100,3/9/23 10:00
207,Web Dev Bootcamp Night,1/31/25 10:00,1/31/25 12:00,Ella Rises HQ,100,1/24/25 10:00
208,Girls in STEAM Mentoring,2/15/22 10:00,2/15/22 12:00,Ella Rises HQ,100,2/8/22 10:00
209,Mentor Office Hours,5/14/23 10:00,5/14/23 12:00,Ella Rises HQ,100,5/7/23 10:00
210,Web Dev Bootcamp Night,8/15/25 10:00,8/15/25 12:00,Ella Rises HQ,100,8/8/25 10:00
211,Monthly Art Studio Workshop,10/15/24 10:00,10/15/24 12:00,Art Studio 2,100,10/8/24 10:00
212,Girls in STEAM Mentoring,7/15/25 10:00,7/15/25 12:00,Virtual Zoom,100,7/8/25 10:00
213,Robotics Lab Saturday,1/25/25 10:00,1/25/25 12:00,Community Center Room A,100,1/18/25 10:00
214,Data Science Study Group,4/16/25 10:00,4/16/25 12:00,Virtual Zoom,100,4/9/25 10:00
215,Girls in STEAM Mentoring,12/12/23 10:00,12/12/23 12:00,Virtual Zoom,100,12/5/23 10:00
216,Mentor Office Hours,10/2/22 10:00,10/2/22 12:00,Virtual Zoom,100,9/25/22 10:00
217,Intro to Painting Class,8/29/24 10:00,8/29/24 12:00,Art Studio 2,100,8/22/24 10:00
218,Mentor Office Hours,6/25/23 10:00,6/25/23 12:00,Ella Rises HQ,100,6/18/23 10:00
219,Monthly Art Studio Workshop,12/15/22 10:00,12/15/22 12:00,Local Library,100,12/8/22 10:00
220,Robotics Lab Saturday,7/15/23 10:00,7/15/23 12:00,Local Library,100,7/8/23 10:00
221,Mentor Office Hours,9/1/24 10:00,9/1/24 12:00,Community Center Room A,100,8/25/24 10:00
222,Robotics Lab Saturday,5/14/22 10:00,5/14/22 12:00,Local Library,100,5/7/22 10:00
223,Girls in STEAM Mentoring,5/21/24 10:00,5/21/24 12:00,Local Library,100,5/14/24 10:00
224,Intro to Painting Class,11/10/22 10:00,11/10/22 12:00,Community Center Room A,100,11/3/22 10:00
225,Robotics Lab Saturday,3/5/22 10:00,3/5/22 12:00,Local Library,100,2/26/22 10:00
226,Mentor Office Hours,3/6/22 10:00,3/6/22 12:00,Community Center Room A,100,2/27/22 10:00
227,Data Science Study Group,10/11/23 10:00,10/11/23 12:00,Local Library,100,10/4/23 10:00
228,Data Science Study Group,7/16/25 10:00,7/16/25 12:00,Community Center Room A,100,7/9/25 10:00
229,Robotics Lab Saturday,9/3/22 10:00,9/3/22 12:00,Art Studio 2,100,8/27/22 10:00
230,Monthly Art Studio Workshop,7/15/24 10:00,7/15/24 12:00,Community Center Room A,100,7/8/24 10:00
231,Girls in STEAM Mentoring,9/24/24 10:00,9/24/24 12:00,Local Library,100,9/17/24 10:00
232,Intro to Painting Class,9/19/24 10:00,9/19/24 12:00,Ella Rises HQ,100,9/12/24 10:00
233,Web Dev Bootcamp Night,6/20/25 10:00,6/20/25 12:00,Art Studio 2,100,6/13/25 10:00
234,Leadership Circle Meetup,11/15/24 10:00,11/15/24 12:00,Art Studio 2,100,11/8/24 10:00
235,Mentor Office Hours,1/16/22 10:00,1/16/22 12:00,Local Library,100,1/9/22 10:00
236,Girls in STEAM Mentoring,6/4/24 10:00,6/4/24 12:00,Community Center Room A,100,5/28/24 10:00
237,Girls in STEAM Mentoring,1/24/23 10:00,1/24/23 12:00,Community Center Room A,100,1/17/23 10:00
238,Web Dev Bootcamp Night,6/10/22 10:00,6/10/22 12:00,Ella Rises HQ,100,6/3/22 10:00
239,Data Science Study Group,1/31/24 10:00,1/31/24 12:00,Art Studio 2,100,1/24/24 10:00
240,STEAM Summit & Expo,6/15/25 10:00,6/15/25 12:00,Community Center Room A,100,6/8/25 10:00
241,Intro to Painting Class,1/26/23 10:00,1/26/23 12:00,Ella Rises HQ,100,1/19/23 10:00
242,Intro to Painting Class,1/9/25 10:00,1/9/25 12:00,Art Studio 2,100,1/2/25 10:00
243,Monthly Art Studio Workshop,6/15/25 10:00,6/15/25 12:00,Virtual Zoom,100,6/8/25 10:00
244,Monthly Coding Club,4/15/25 10:00,4/15/25 12:00,Ella Rises HQ,100,4/8/25 10:00
245,Girls in STEAM Mentoring,8/12/25 10:00,8/12/25 12:00,Ella Rises HQ,100,8/5/25 10:00
246,Leadership Circle Meetup,6/15/25 10:00,6/15/25 12:00,Art Studio 2,100,6/8/25 10:00
247,Robotics Lab Saturday,8/31/24 10:00,8/31/24 12:00,Virtual Zoom,100,8/24/24 10:00
248,Data Science Study Group,9/13/23 10:00,9/13/23 12:00,Virtual Zoom,100,9/6/23 10:00
249,Intro to Painting Class,6/9/22 10:00,6/9/22 12:00,Ella Rises HQ,100,6/2/22 10:00
250,Robotics Lab Saturday,12/30/23 10:00,12/30/23 12:00,Virtual Zoom,100,12/23/23 10:00
251,Data Science Study Group,1/22/25 10:00,1/22/25 12:00,Local Library,100,1/15/25 10:00
252,Leadership Circle Meetup,7/15/24 10:00,7/15/24 12:00,Virtual Zoom,100,7/8/24 10:00
253,Robotics Lab Saturday,7/8/23 10:00,7/8/23 12:00,Ella Rises HQ,100,7/1/23 10:00
254,Girls in STEAM Mentoring,3/19/24 10:00,3/19/24 12:00,Ella Rises HQ,100,3/12/24 10:00
255,Web Dev Bootcamp Night,12/1/23 10:00,12/1/23 12:00,Local Library,100,11/24/23 10:00
256,Mentor Office Hours,4/13/25 10:00,4/13/25 12:00,Local Library,100,4/6/25 10:00
257,Robotics Lab Saturday,4/29/23 10:00,4/29/23 12:00,Local Library,100,4/22/23 10:00
258,Girls in STEAM Mentoring,1/2/24 10:00,1/2/24 12:00,Virtual Zoom,100,12/26/23 10:00
259,Intro to Painting Class,5/18/23 10:00,5/18/23 12:00,Art Studio 2,100,5/11/23 10:00
260,Girls in STEAM Mentoring,11/9/21 10:00,11/9/21 12:00,Art Studio 2,100,11/2/21 10:00
